goTerm,Biological.function,Cluster.number,pvalue,size,Genes
GO:0007077,mitotic nuclear envelope disassembly ,Cluster_1,0.003823725,13,POM121;NUP205;AAAS;NUP160;CCNB2;CCNB1;LMNA;TPR;NUP62;NUP43;BANF1;NUP88;EMD;RAE1;RANBP2;NUP214;NDC1;NEK9;NUP210;NUP133;NUP155;PRKCB;NEK6;PLK1;VRK1;NUP153;PRKCA;NUP93;NUP50;CNEP1R1;CDK1;NUP35;NUP54;LPIN1;NUPL2;NUP37;AAAS;CCNB1;CDK1;LMNA;NUP133;NUP37;NUP43;NUP54;NUP62;NUP88;NUP93;PLK1;PRKCB
GO:0007080,mitotic metaphase plate congression ,Cluster_1,3.97E-06,18,BECN1;CDCA5;VPS4B;CUL3;VPS4A;MIS12;CDCA8;CENPC;CCNB1;CDC23;CHMP1B;NUP62;CHMP1A;RRS1;ANKRD53;SPDL1;PIBF1;CDT1;BOD1;KIF22;RAB11A;NDC80;CENPE;PSRC1;KIFC1;ZW10;CHMP2B;CHMP4C;CHMP2A;CHMP4B;CHMP4A;CHMP6;CHMP7;KPNB1;MAD1L1;CHMP5;BECN1;CCNB1;CDC23;CDCA5;CDCA8;CDT1;CHMP1A;CHMP1B;CHMP7;KIF22;KIFC1;KPNB1;MIS12;NDC80;NUP62;RRS1;VPS4A;VPS4B
GO:0007088,regulation of mitotic nuclear division ,Cluster_1,0.003240678,18,KIF11;MKI67;SMC3;PPP1R9B;CDC14B;CDC23;CHMP1B;CHEK1;NUP62;CHMP1A;NUSAP1;RCC1;KNTC1;NEK2;FBXO5;PDGFRB;PRMT5;EDN1;BORA;EDN3;DAPK3;SMC1A;CDC25C;CCSAP;SIRT2;EREG;NME6;IL1B;ZW10;CHMP4C;CHMP4B;PHIP;KIF20B;AURKAIP1;OBSL1;CHMP5;L3MBTL1;VPS4B;LRP5;PDGFB;PDXP;FBXO43;PKMYT1;AURKA;TPR;CAV2;INSR;PLK1;MAD2L1BP;BMP7;CDC16;CHMP2B;CHMP2A;PIN1;CEP85;CDK13;AURKA;CAV2;CCSAP;CDC23;CHEK1;CHMP1A;CHMP1B;KIF11;MAD2L1BP;NME6;NUP62;PDXP;PIN1;PKMYT1;PLK1;PPP1R9B;PRMT5;VPS4B
GO:0007094,mitotic spindle assembly checkpoint ,Cluster_1,0.002372626,7,IK;PLK1;BUB1B;TTK;MAD2L2;CENPF;ZW10;TPR;ATM;TRIP13;BUB3;BUB1;MAD1L1;BUB1;BUB1B;BUB3;IK;PLK1;TRIP13;TTK
GO:0007158,neuron cell-cell adhesion ,Cluster_6,0.008172664,3,RET;NLGN3;NLGN1;NLGN2;NRXN1;NINJ2;NRXN3;CNTN4;NLGN1;NRXN1;RET
GO:0007160,cell-matrix adhesion ,Cluster_5,0.007769011,12,DDR1;ITGB1;ECM2;ITGB2;ILK;TESK2;PTPRK;MSLN;MADCAM1;EMILIN1;ITGAV;ITGB7;ADAMTS9;FGB;FGA;CD96;ITGA4;ITGA3;ACTN2;ACTN1;ITGA2;ITGA1;FGG;EMP2;RHOD;ADAM15;CTTN;ITGA8;ADAM9;ITGA7;ITGB1BP1;CD44;VCL;COL17A1;CD63;LAMA5;COL13A1;LYPD3;FBLN5;THBS3;OTOA;ADAMTS13;WHAMM;RCC2;SORBS1;L1CAM;LYVE1;MKLN1;PARVG;TRIP6;TAOK2;HPSE;HOXD3;FERMT2;COL13A1;FGA;FGB;FGG;HOXD3;ITGA1;ITGA2;ITGA4;LYVE1;MADCAM1;MKLN1;OTOA
GO:0007167,enzyme linked receptor protein signaling pathway ,Cluster_5,0.000499822,16,PTPRT;ITK;FLT1;CSF1;FLT4;SLA;SLA2;PALM2-AKAP2;PTPRF;PTPRG;KDR;JAK2;JAK1;MUSK;SYK;INSRR;MATK;CD3EAP;FRS2;CNPY2;TYK2;GFRA2;MTSS1;CNKSR1;RAPGEF1;IL6ST;BLK;SHC4;GUCY2C;CSF1R;NPR1;TXK;NEDD9;PTN;ACVR1B;GUCY2F;AKAP2;IRAK1;NTF3;ABL1;ABL2;STAP1;PTK2B;CSK;FYN;PAG1;LYN;BDNF;TNK2;STYK1;IL31RA;LIF;PILRB;PILRA;GP6;ACVR2B;PTK2;AHI1;FER;TEC;CD7;FRK;BCAR1;AHI1;AKAP2;BDNF;BLK;CD7;FLT1;GFRA2;GUCY2C;GUCY2F;IL31RA;ITK;PAG1;PALM2-AKAP2;SLA;STAP1;TXK
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway ,Cluster_5,0.007185637,36,CYFIP2;ITSN1;SLA2;FGFRL1;ACTB;TIAL1;ZFYVE27;STMN1;KDR;AKT1;ANKS1A;ATP6V1E1;EPHB1;ATP6V1E2;EPHB4;PDK2;EPHA5;EPHA4;ATP6V1G1;RBFOX2;ATP6V1G2;ATP6V0E1;MUSK;CD3EAP;FRS2;DDIT4;PRKD1;UBA52;ATP6V0D2;GPLD1;EPHA2;EPHA10;SH2D2A;TXK;PDGFB;PIK3R2;MST1R;PIK3R1;KALRN;MYL12A;APH1A;FLRT3;PDGFD;FLRT1;PDGFC;ATP6V0A2;PAG1;ATP6V1C2;LYN;NGFR;NUS1;INSR;IL31RA;EIF2AK3;PILRB;PILRA;GRIN2B;PTK2;SETX;HNRNPM;FIBP;HNRNPF;DDR1;PTPRT;ITK;NRP1;ARPC1B;ARPC1A;WASL;SHB;AP2A2;PTPRG;SIPA1L1;JAK2;APPL1;JAK1;PSENEN;ATP6V0B;SYK;INSRR;TYK2;GFRA2;SIRT2;RHOA;MTSS1;VAV1;VAV2;CNKSR1;RAPGEF1;RAPGEF2;PLCB1;RHOQ;DDR2;FOXC1;NEDD9;NTF3;AP2S1;ZNF106;RPS27A;ATP6V0E2;PAK3;SORT1;STAT3;VEGFB;VEGFC;SORBS1;SULF1;SULF2;VEGFA;AXL;FRK;KLB;CSF1;NCF2;IRS1;SLA;IRS2;PLAT;FGF2;IGF1R;FGF5;FGF7;AP2M1;PDGFRB;PDGFRA;HGF;MATK;CYBA;GTF2F1;MAPKAPK3;GPRIN1;MAPKAPK2;PHIP;BLK;SHC4;ATP6V1A;CSF1R;ARHGEF28;PXN;PSEN2;FOXO4;PSEN1;EFNA5;FOXO1;SOCS2;EFNB2;EFNB1;SDCBP;UBB;UBC;ABL1;ABL2;STAP1;ATP6V1H;ATP6V1D;ATP6V1F;TIA1;BDNF;CAV2;TNK2;ARPC4;ARPC5;EFNA1;AHI1;FER;ARPC2;FGFR4;MUC20;FGFR3;FGFR1;TRIM71;GSK3A;FLT1;FLT4;HSPB1;TCIRG1;PIK3C2A;GHR;PTBP1;SPRED2;NCK2;ITGAV;NCK1;HSP90AA1;ATP6AP1;NCBP1;NCBP2;MMP2;PIK3CA;ESRP2;RASA1;ATP6V1B2;SOS1;CRK;DOCK1;ATP6V1B1;RGS14;ROCK2;CBL;CDC42;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2F;PTK2B;MAPK1;CSK;FYN;POLR2H;POLR2I;POLR2J;SH2B2;POLR2K;POLR2L;MAPK3;NTRK2;ANGPT2;STYK1;PTPN11;BAIAP2;MAPK14;SHCBP1;MAPK13;MAPK11;TEC;CD7;PTPN2;BCAR1;AHI1;ANGPT2;BDNF;BLK;CD7;DDR2;EFNA1;EFNB2;EPHA10;FLRT1;FLRT3;FLT1;GFRA2;HGF;IL31RA;ITK;KALRN;MAPK13;MMP2;MUC20;NTRK2;PAG1;PAK3;PDGFRA;PIK3R1;PLAT;PLCB1;PRKD1;RHOQ;SIPA1L1;SLA;SPRED2;STAP1;SULF1;TXK;VAV1
GO:0007173,epidermal growth factor receptor signaling pathway ,Cluster_3,0.00017495,13,PIGR;DGKD;PXN;CBLB;IQGAP1;PIK3R1;PIK3C2A;CBL;EGFR;EPS8;NRAS;RPS6KA5;EFEMP1;NCK2;ABL1;AKT1;PLCE1;ABL2;PTK2B;CSK;PAG1;FAM83B;FAM83A;TGFB1;STYK1;PTPN11;PTK2;EREG;BTC;VIL1;ADAM17;PIK3CA;KRAS;SOS1;BCAR1;HBEGF;ABL1;CBLB;DGKD;EGFR;FAM83B;KRAS;PIK3C2A;PTK2;PTK2B;PXN;RPS6KA5;SOS1;STYK1
GO:0007188,adenylate cyclase-modulating G-protein coupled receptor signaling pathway ,Cluster_5,0.001254015,12,PTGER4;GNAZ;PTGFR;RAMP2;RAMP3;FPR1;GNAI3;ADCY3;ADM;ADCY2;PTH1R;ADRA1B;ADCY8;RXFP1;ADCY7;LTB4R;ADCY6;GNAI1;CRHR2;GNAI2;AKAP12;GNA13;GNA14;CYSLTR1;GNAT2;TBXA2R;UCN2;GNA11;PSAP;GRM8;GNA12;DRD2;CCR3;ABCA1;P2RY12;LHCGR;GPR37L1;GNAO1;ADCY9;GNAL;ADORA2A;GNAQ;FSHR;GNAS;ABCA1;ADCY8;ADORA2A;AKAP12;CYSLTR1;FSHR;GNA14;GRM8;LHCGR;PTGFR;RAMP2;RAMP3
GO:0007189,adenylate cyclase-activating G-protein coupled receptor signaling pathway ,Cluster_5,0.003553621,8,PTGER4;PTGFR;RAMP2;RAMP3;ADCY3;ADM;ADCY2;PTH1R;ADRA1B;ADCY8;ADCY7;ADCY6;GNA13;GNG2;UCN2;TBXA2R;DRD2;ABCA1;LHCGR;ADCY9;GNAL;ADORA2A;FSHR;GNAQ;GNAS;RAPGEF2;ABCA1;ADCY8;ADORA2A;FSHR;LHCGR;PTGFR;RAMP2;RAMP3
GO:0007193,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway ,Cluster_8,0.007785526,8,P2RY12;CHRM1;DHX8;GNAI3;ADCY3;ADCY2;GPR37L1;ADCY8;ADCY7;GRM1;ADCY6;GNAI1;GNAI2;AKAP12;GRM5;GRM4;HTR7;ADCY9;GNAL;GRM7;GRM8;PSAP;FLNA;DRD2;ADCY3;ADCY6;ADCY9;CHRM1;FLNA;GNAI1;P2RY12;PSAP
GO:0007200,phospholipase C-activating G-protein coupled receptor signaling pathway ,Cluster_3,0.005469421,10,CHRM1;DHX8;C5AR2;C5AR1;HTR2B;FPR1;HTR2C;GPR20;PTH1R;ADRA1B;LTB4R;GRM1;GNA14;CYSLTR1;GRM5;P2RY6;GNA11;PLCE1;DRD2;GPR157;LHCGR;ACTN2;F2R;GPR55;GPR4;TACR1;OPRM1;NMBR;AGT;LPAR6;GNAQ;AGTR1;F2RL1;GPR18;C5AR2;DRD2;F2RL1;GNAQ;GPR18;HTR2B;LPAR6;OPRM1;P2RY6;TACR1
GO:0007205,protein kinase C-activating G-protein coupled receptor signaling pathway ,Cluster_3,0.001042218,5,GAP43;CHRM1;DGKD;PARD3;F2R;HTR2B;PLCE1;DGKH;DGKD;DGKH;GAP43;HTR2B;PARD3
GO:0007217,tachykinin receptor signaling pathway ,Cluster_3,0.006391113,3,TACR2;TACR3;TAC4;TACR1;TAC4;TACR1;TACR3
GO:0007268,chemical synaptic transmission ,Cluster_3,0.000470927,27,CHRM1;HTR6;GPR176;HTR7;SLC12A6;SLC12A7;UNC13B;UNC13C;CHRNB4;UNC13A;CHRNB3;NPFF;SCRIB;GABRG3;SHISA6;CACNB1;CACNB3;SYPL1;GPRIN1;AKAP9;KCNQ2;KCNQ3;CHRNA5;CNP;CHRNA6;SLC1A1;CHRNA9;SLC1A3;SLC1A4;CPLX1;CACNA1E;GABARAP;SDCBP;KCNMB2;KCNMB3;KCNMB4;KCNN1;MBP;NPTX1;NPTX2;DRD2;NTSR1;GRIA3;GRIA4;DTNA;SYT1;GRIN2B;DLG1;DLG2;DLG3;CDK5;GIPC1;PNOC;PPT1;GABRB3;GABRB2;GABRB1;DOC2A;HTR2B;PTEN;GRIK4;HTR2C;GRIK1;SLC6A1;GRM1;GABRR3;GRM3;GABRR2;GRM5;GRM4;GRM7;DLGAP1;KIF1B;KCND2;MINK1;TACR2;TACR1;OPRM1;SYN2;SYN1;FCHSD1;EXOC4;NAPA;NAPB;NPY4R;NRXN1;LRP6;GLRA1;GLRA2;GLRA3;CHRNG;CHRNE;CHRNA10;MAPK1;SLC17A7;PDLIM4;GABRQ;GABBR2;NQO1;RIC3;SLC12A4;SLC12A5;KCNIP2;GAD1;GABRA3;GPR1;HCRTR2;HCRTR1;SYT10;GPR149;RIMBP2;PMP22;PDE7B;ZACN;KCNK3;CHRNA10;CHRNB4;CHRNE;CPLX1;DLG1;DRD2;DTNA;EXOC4;GABRQ;GLRA2;GRIA3;HTR2B;KCND2;KCNIP2;MBP;MINK1;NPFF;OPRM1;PMP22;SLC12A5;SLC1A1;SLC1A3;SLC6A1;SYT1;TACR1;UNC13A;UNC13C
GO:0007268,chemical synaptic transmission ,Cluster_6,0.002118423,15,CHRM1;HTR6;GPR176;HTR7;SLC12A6;SLC12A7;UNC13B;UNC13C;CHRNB4;UNC13A;CHRNB3;NPFF;SCRIB;GABRG3;SHISA6;CACNB1;CACNB3;SYPL1;GPRIN1;AKAP9;KCNQ2;KCNQ3;CHRNA5;CNP;CHRNA6;SLC1A1;CHRNA9;SLC1A3;SLC1A4;CPLX1;CACNA1E;GABARAP;SDCBP;KCNMB2;KCNMB3;KCNMB4;KCNN1;MBP;NPTX1;NPTX2;DRD2;NTSR1;GRIA3;GRIA4;DTNA;SYT1;GRIN2B;DLG1;DLG2;DLG3;CDK5;GIPC1;PNOC;PPT1;GABRB3;GABRB2;GABRB1;DOC2A;HTR2B;PTEN;GRIK4;HTR2C;GRIK1;SLC6A1;GRM1;GABRR3;GRM3;GABRR2;GRM5;GRM4;GRM7;DLGAP1;KIF1B;KCND2;MINK1;TACR2;TACR1;OPRM1;SYN2;SYN1;FCHSD1;EXOC4;NAPA;NAPB;NPY4R;NRXN1;LRP6;GLRA1;GLRA2;GLRA3;CHRNG;CHRNE;CHRNA10;MAPK1;SLC17A7;PDLIM4;GABRQ;GABBR2;NQO1;RIC3;SLC12A4;SLC12A5;KCNIP2;GAD1;GABRA3;GPR1;HCRTR2;HCRTR1;SYT10;GPR149;RIMBP2;PMP22;PDE7B;ZACN;KCNK3;CACNA1E;GABRG3;GPR1;GRIN2B;GRM1;GRM4;HCRTR2;KCNMB2;KCNQ2;NPTX2;NRXN1;RIC3;RIMBP2;SLC17A7;SYT10
GO:0007346,regulation of mitotic cell cycle ,Cluster_1,0.00128821,32,FOXA1;APP;MKI67;STK10;SLK;MAEA;RCC1;NEK1;NEK2;PIM3;PIM2;FBXO5;MAP3K4;CDK5RAP3;MAP2K3;MAP2K4;MAP2K2;BORA;ANGEL2;USP2;DAPK3;SCRIB;PRKCA;CDC25C;THAP1;TNIK;KIF20B;OBSL1;L3MBTL1;STK39;IQGAP1;PKMYT1;STK4;FBXO43;STK3;SDCBP;CCNB1;BRINP1;MAP2K7;ZNF268;MAP2K5;CDK19;AFAP1L2;TGFB1;SMAD3;CAV2;NEK6;PLK1;NEK7;ASNS;TPX2;CDK8;CYLD;DLG1;STK24;STK25;CDC16;MDM2;CDK1;CDK10;PIN1;CDK13;MAP3K14;TP73;GPSM2;BTG3;BTG2;CDKN1B;NUMA1;CLTC;CKS1B;TTC28;NUP62;PRMT5;PARP3;DUSP3;MINK1;OXSR1;RBL2;DDB1;RBL1;PSRC1;CKS2;BIRC5;GAS1;FOXC1;DCTN1;PDXP;GNAI1;HSF1;ANKRD53;PAK6;FSD1;PAK3;MAP4K5;RAE1;EIF4E;LINC00598;MAP4K3;PAK4;MAP4K4;DYNC1H1;CDK11A;USP22;GBF1;MEIS2;TFAP4;TAOK3;ERCC2;TAOK2;TRIM35;PKN2;MAD2L1;BTG2;CAV2;CCNB1;CDK1;CDKN1B;CKS2;DCTN1;DDB1;DUSP3;GPSM2;HSF1;MAD2L1;MAEA;MAP2K2;MAP2K7;MDM2;NUP62;PAK6;PARP3;PDXP;PIN1;PKMYT1;PLK1;PRMT5;RBL1;RBL2;STK25;TFAP4;THAP1;TPX2;USP2;USP22
GO:0007399,nervous system development ,Cluster_3,0.001356218,43,ANKLE2;GMFB;AVIL;STMN3;GBA2;RAPGEFL1;RPS6KA6;CHAC1;EPHB1;CDK5RAP2;RBFOX1;RBFOX2;BTD;FEZ1;NINJ2;FEZ2;KCNQ2;NAIP;NUMBL;INTU;PCDH19;KALRN;KLK6;FXR1;FXR2;PCDHA1;FLRT3;PDGFC;PCDHA5;PCDHA4;PCDHA3;PCDHA2;PCDHA9;PCDHA8;PCDHA7;PCDHA6;LYN;EGR2;JAG1;FZD5;BCL11B;ST8SIA2;POU6F2;BTBD11;L1CAM;RNF103;PPT1;FAT4;SERPINI1;SIM2;ROBO2;COX7B;DOC2A;PCSK9;GRIK1;JRKL;VLDLR;ROBO1;SMPD1;TRIM3;ENC1;JARID2;GFRA1;GFRA2;ZEB2;ALDH5A1;PAX8;B3GNT5;ZNF358;RAPGEF5;PAFAH1B3;DSCAML1;GSTP1;WNT8B;PTN;TRAK1;RELN;GBX2;NTF3;FARP1;ARNT2;MBD5;RYK;GSS;STAT3;WWP1;GRHL2;VEGFA;TAOK3;TAOK2;CHRM1;GDA;NAB2;ROGDI;ATN1;CELSR1;FGF2;FGF5;STK11;NAGLU;SALL4;EP300;SH3GL2;CSGALNACT1;KIRREL3;MYLIP;NOM1;SERF1A;SZT2;SEMA6A;TMOD2;DYRK1A;LIG4;SDHA;SDCBP2;PCDHA10;THOC6;ALDH3A2;SCN8A;NOTCH2;EFNA5;NPAS1;NPAS2;BTBD1;MOBP;KIF3A;BTBD2;DVL1;MBP;NPTX1;DRD2;NDUFV2;EIF2B2;TGFB1;PSPN;BDNF;SLC4A10;CRIM1;BTBD6;INHBA;ARHGAP26;CHERP;RCAN1;AHI1;DLG1;DLG2;CDK5;DLG3;GDNF;COPS2;NF1;TPP1;CNTN4;FGFR4;FGF13;FGF12;FGF11;FGFR1;TRIM71;PCDHGB4;PCDHGB3;PCDHGB2;CHD7;PTEN;MTR;HAPLN3;PKD2;HAPLN4;NRGN;PCDHGA7;TRPC5;GUSBP1;PCDHGA6;PCDHGA5;PCDHGA4;PCDHGA3;PCDHGA2;PCDHGA1;NAV1;PPP2R5D;NAV2;DNM3;CYP26C1;ADORA2A;NAV3;IL1RAPL2;ALDH1A2;PCDHGB1;DCX;EVL;DAGLB;SHANK3;SHANK2;SHANK1;NLGN3;HDAC4;PRPS1;NLGN1;CAMK2D;NLGN2;DCTN1;NRXN1;CRMP1;SPG7;NR2C2;CLN8;BARX2;CLN5;CSK;FYN;BPNT1;PCDH1;FKTN;TIMM8A;TCF7L1;LIMK1;PCDHGC3;CABLES1;NELL1;P2RX5;MAB21L2;PMP22;ATXN10;RBM45;ATN1;AVIL;BTD;CAMK2D;CHAC1;DLG1;DNM3;DRD2;EFNA5;ENC1;FEZ1;FGF13;HDAC4;JAG1;KIRREL3;MBP;NELL1;NF1;NINJ2;NLGN2;PCDHGA1;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGB1;PCDHGB2;PCDHGB3;PCDHGB4;PCDHGC3;PDGFC;PMP22;RBFOX2;SEMA6A;SH3GL2;SHANK2;STAT3;TCF7L1;TRPC5;VEGFA;ZEB2
GO:0007399,nervous system development ,Cluster_5,0.000751882,39,ANKLE2;GMFB;AVIL;STMN3;GBA2;RAPGEFL1;RPS6KA6;CHAC1;EPHB1;CDK5RAP2;RBFOX1;RBFOX2;BTD;FEZ1;NINJ2;FEZ2;KCNQ2;NAIP;NUMBL;INTU;PCDH19;KALRN;KLK6;FXR1;FXR2;PCDHA1;FLRT3;PDGFC;PCDHA5;PCDHA4;PCDHA3;PCDHA2;PCDHA9;PCDHA8;PCDHA7;PCDHA6;LYN;EGR2;JAG1;FZD5;BCL11B;ST8SIA2;POU6F2;BTBD11;L1CAM;RNF103;PPT1;FAT4;SERPINI1;SIM2;ROBO2;COX7B;DOC2A;PCSK9;GRIK1;JRKL;VLDLR;ROBO1;SMPD1;TRIM3;ENC1;JARID2;GFRA1;GFRA2;ZEB2;ALDH5A1;PAX8;B3GNT5;ZNF358;RAPGEF5;PAFAH1B3;DSCAML1;GSTP1;WNT8B;PTN;TRAK1;RELN;GBX2;NTF3;FARP1;ARNT2;MBD5;RYK;GSS;STAT3;WWP1;GRHL2;VEGFA;TAOK3;TAOK2;CHRM1;GDA;NAB2;ROGDI;ATN1;CELSR1;FGF2;FGF5;STK11;NAGLU;SALL4;EP300;SH3GL2;CSGALNACT1;KIRREL3;MYLIP;NOM1;SERF1A;SZT2;SEMA6A;TMOD2;DYRK1A;LIG4;SDHA;SDCBP2;PCDHA10;THOC6;ALDH3A2;SCN8A;NOTCH2;EFNA5;NPAS1;NPAS2;BTBD1;MOBP;KIF3A;BTBD2;DVL1;MBP;NPTX1;DRD2;NDUFV2;EIF2B2;TGFB1;PSPN;BDNF;SLC4A10;CRIM1;BTBD6;INHBA;ARHGAP26;CHERP;RCAN1;AHI1;DLG1;DLG2;CDK5;DLG3;GDNF;COPS2;NF1;TPP1;CNTN4;FGFR4;FGF13;FGF12;FGF11;FGFR1;TRIM71;PCDHGB4;PCDHGB3;PCDHGB2;CHD7;PTEN;MTR;HAPLN3;PKD2;HAPLN4;NRGN;PCDHGA7;TRPC5;GUSBP1;PCDHGA6;PCDHGA5;PCDHGA4;PCDHGA3;PCDHGA2;PCDHGA1;NAV1;PPP2R5D;NAV2;DNM3;CYP26C1;ADORA2A;NAV3;IL1RAPL2;ALDH1A2;PCDHGB1;DCX;EVL;DAGLB;SHANK3;SHANK2;SHANK1;NLGN3;HDAC4;PRPS1;NLGN1;CAMK2D;NLGN2;DCTN1;NRXN1;CRMP1;SPG7;NR2C2;CLN8;BARX2;CLN5;CSK;FYN;BPNT1;PCDH1;FKTN;TIMM8A;TCF7L1;LIMK1;PCDHGC3;CABLES1;NELL1;P2RX5;MAB21L2;PMP22;ATXN10;RBM45;ADORA2A;AHI1;ALDH1A2;ARHGAP26;ARNT2;BDNF;CNTN4;CSGALNACT1;DLG2;DSCAML1;EGR2;EVL;FARP1;FGF12;FLRT3;GDNF;GFRA2;GRIK1;GSTP1;HAPLN3;HAPLN4;INHBA;JARID2;KALRN;MBD5;MOBP;NAIP;NAV1;NPAS2;PCDH1;PCDH19;RAPGEF5;RELN;SCN8A;SHANK3;STMN3;TMOD2;VLDLR;WNT8B
GO:0007409,axonogenesis ,Cluster_3,0.000551875,28,CYFIP2;APP;SPON2;IRS2;ARHGAP35;RPS6KA5;TUBB3;KIF5B;GRB10;TNR;EPHB1;EPHA5;SEMA6A;OMD;WNT5A;OMG;FRS2;PRKCA;UNC5C;ANK3;DOK4;DOK5;FEZ1;PARD3;DOK6;FEZ2;MAP1A;S100A6;EZR;LLGL1;SPTBN4;SPTBN5;PIK3R1;EFNA5;C9ORF72;RTN4;RAP1GAP;ART4;SPTA1;EFNB2;EFNB1;KIF3A;DRD2;SPTBN1;SPTBN2;NTNG1;VASP;NGFR;AUTS2;PSPN;BDNF;L1CAM;PTK2;LRFN3;EFNA1;LRFN5;LRFN4;CXCL12;DAB1;GDNF;CDK5;ARTN;PTPRA;OGN;PLXNB1;CNTN4;RET;ROBO2;NRP1;DRAXIN;ECM2;LRRC38;DOCK7;PTEN;PIK3CD;VLDLR;GLI2;ROBO1;SPTAN1;RAB8A;LYPLA2;GFRA1;GFRA2;MLF2;ENAH;GAP43;CREB1;PIK3CA;TLR9;EVL;SOS1;DSCAML1;SHANK3;NLGN3;SEMA3C;NRXN1;SEMA3A;SEMA3B;NRXN3;PRELP;SEMA3F;FAM129B;NRAS;PARD6B;RELN;GPC1;SLITRK4;MAPK1;SLIT3;NCAM1;FYN;APBB1;PAK3;PDLIM7;MAPK3;LINGO2;USP9X;RYK;PTPN11;BAIAP2;TAOK2;KRAS;ANK3;ARTN;DRD2;ECM2;EFNA5;FAM129B;FEZ1;GAP43;KRAS;LRRC38;NRP1;NTNG1;OGN;OMD;PARD3;PARD6B;PRKCA;PTK2;PTPRA;RPS6KA5;SEMA3F;SEMA6A;SLIT3;SOS1;SPON2;SPTBN1;TUBB3;USP9X
GO:0007409,axonogenesis ,Cluster_5,0.006401149,22,CYFIP2;APP;SPON2;IRS2;ARHGAP35;RPS6KA5;TUBB3;KIF5B;GRB10;TNR;EPHB1;EPHA5;SEMA6A;OMD;WNT5A;OMG;FRS2;PRKCA;UNC5C;ANK3;DOK4;DOK5;FEZ1;PARD3;DOK6;FEZ2;MAP1A;S100A6;EZR;LLGL1;SPTBN4;SPTBN5;PIK3R1;EFNA5;C9ORF72;RTN4;RAP1GAP;ART4;SPTA1;EFNB2;EFNB1;KIF3A;DRD2;SPTBN1;SPTBN2;NTNG1;VASP;NGFR;AUTS2;PSPN;BDNF;L1CAM;PTK2;LRFN3;EFNA1;LRFN5;LRFN4;CXCL12;DAB1;GDNF;CDK5;ARTN;PTPRA;OGN;PLXNB1;CNTN4;RET;ROBO2;NRP1;DRAXIN;ECM2;LRRC38;DOCK7;PTEN;PIK3CD;VLDLR;GLI2;ROBO1;SPTAN1;RAB8A;LYPLA2;GFRA1;GFRA2;MLF2;ENAH;GAP43;CREB1;PIK3CA;TLR9;EVL;SOS1;DSCAML1;SHANK3;NLGN3;SEMA3C;NRXN1;SEMA3A;SEMA3B;NRXN3;PRELP;SEMA3F;FAM129B;NRAS;PARD6B;RELN;GPC1;SLITRK4;MAPK1;SLIT3;NCAM1;FYN;APBB1;PAK3;PDLIM7;MAPK3;LINGO2;USP9X;RYK;PTPN11;BAIAP2;TAOK2;KRAS;APBB1;BDNF;CNTN4;DOK5;DSCAML1;EFNA1;EFNB2;EVL;GDNF;GFRA2;GRB10;NRXN3;OMG;PAK3;PDLIM7;PIK3R1;RELN;SEMA3A;SHANK3;SPTBN5;TNR;VLDLR
GO:0007411,axon guidance ,Cluster_3,0.007844239,20,CYFIP2;RET;ROBO2;SPON2;NRP1;DRAXIN;PTPRM;PIK3CD;IRS2;VLDLR;ARHGAP35;GLI2;ROBO1;RPS6KA5;TUBB3;KIF5B;GRB10;TNR;PLXNC1;EPHB1;SPTAN1;EPHA5;EPHA4;LYPLA2;SEMA6A;WNT5A;FRS2;PRKCA;UNC5C;GFRA1;GFRA2;MLF2;ENAH;GAP43;CREB1;DOK4;PIK3CA;DOK5;FEZ1;DOK6;FEZ2;EVL;EZR;SOS1;SHANK3;SPTBN4;SPTBN5;SEMA3C;NRXN1;SEMA3A;SEMA3B;NRXN3;PIK3R1;SEMA3F;EFNA5;RAP1GAP;ART4;FAM129B;EFNB2;SPTA1;EFNB1;NRAS;RELN;KIF3A;GPC1;MAPK1;SLIT3;NCAM1;FYN;PLXNA4;SPTBN1;PDLIM7;SPTBN2;MAPK3;VASP;NGFR;PSPN;BDNF;RYK;PTPN11;L1CAM;PTK2;VEGFA;EFNA1;CXCL12;DAB1;GDNF;ARTN;PTPRA;NFIB;PLXNB2;PLXNB1;KRAS;CNTN4;ARTN;EFNA5;FAM129B;FEZ1;GAP43;KRAS;NRP1;PLXNA4;PRKCA;PTK2;PTPRA;RPS6KA5;SEMA3F;SEMA6A;SLIT3;SOS1;SPON2;SPTBN1;TUBB3;VEGFA
